datum_zobrazeni;datum;body;incidence14_100;incidence14_100_body;incidence_65_14_100;incidence_65_14_100_body;incidence_65_roste;incidence_65_roste_body;simple_r;simple_r_body;pozit_perc_test;pozit_perc_test_body;pozit_perc_test_roste;pozit_perc_test_roste_body;podil_zachycen_hosp;podil_zachycen_hosp_body;podil_zachycen_hosp_roste;podil_zachycen_hosp_roste_body
2020-11-10;2020-11-09;75;1425.919859800000;20;1238.676505700000;20;0;0;0.856597213720;5;0.324226641706;30;0;0;;;;
2020-11-11;2020-11-10;75;1364.099795200000;20;1207.198247300000;20;0;0;0.817611061573;5;0.319011943229;30;0;0;;;;
2020-11-12;2020-11-11;70;1326.153066700000;20;1201.662577400000;20;0;0;0.753420538264;0;0.304174739110;30;0;0;;;;
2020-11-13;2020-11-12;70;1277.742467000000;20;1183.319806900000;20;0;0;0.719689902108;0;0.294658467961;30;0;0;;;;
2020-11-14;2020-11-13;70;1219.344901800000;20;1151.090949100000;20;0;0;0.691387723302;0;0.285824066540;30;0;0;;;;
2020-11-15;2020-11-14;70;1151.727160500000;20;1106.383377900000;20;0;0;0.672554736180;0;0.280457934289;30;0;0;;;;
2020-11-16;2020-11-15;70;1108.141724000000;20;1071.386685300000;20;0;0;0.677368271658;0;0.277533956454;30;0;0;;;;
2020-11-17;2020-11-16;70;1072.355097500000;20;1048.352669000000;20;0;0;0.743447748287;0;0.280833233869;30;0;0;;;;
2020-11-18;2020-11-17;70;999.005137300000;20;986.334401300000;20;0;0;0.728401372964;0;0.281262777942;30;0;0;;;;
2020-11-19;2020-11-18;62;903.521144000000;16;914.558342600000;16;0;0;0.721374347619;0;0.272681756701;30;0;0;;;;
2020-11-20;2020-11-19;62;840.270362400000;16;857.278233000000;16;0;0;0.745558861028;0;0.269206865596;30;0;0;;;;
2020-11-21;2020-11-20;62;786.613800500000;16;803.563470200000;16;0;0;0.739639619770;0;0.266908616271;30;0;0;;;;
2020-11-22;2020-11-21;62;744.262708000000;16;766.643366800000;16;0;0;0.727681467397;0;0.262196645469;30;0;0;;;;
2020-11-23;2020-11-22;57;724.625416300000;16;749.661057500000;16;0;0;0.805845197513;5;0.228174391948;20;0;0;;;;
2020-11-24;2020-11-23;57;709.018444900000;16;741.920502100000;16;0;0;0.852754179227;5;0.224564467473;20;0;0;;;;
2020-11-25;2020-11-24;57;679.151059300000;16;715.743351300000;16;0;0;0.932907712477;5;0.224869469634;20;0;0;;;;
2020-11-26;2020-11-25;57;641.830853900000;16;670.519743100000;16;0;0;0.958581822519;5;0.223111357879;20;0;0;;;;
2020-11-27;2020-11-26;57;606.062929600000;16;634.209501600000;16;0;0;0.913774553502;5;0.215452634630;20;0;0;;;;
2020-11-28;2020-11-27;57;578.982169200000;16;597.477048000000;16;0;0;0.882737169517;5;0.209230315541;20;0;0;;;;
2020-11-29;2020-11-28;57;564.684350600000;16;578.008378500000;16;0;0;0.895201979625;5;0.208824984631;20;0;0;;;;
2020-11-30;2020-11-29;57;557.053860100000;16;573.973907200000;16;0;0;0.837742881583;5;0.206773040553;20;0;0;;;;
2020-12-01;2020-11-30;57;539.857203200000;16;552.722564400000;16;0;0;0.827915513111;5;0.202828858625;20;0;0;;;;
2020-12-02;2020-12-01;57;548.591122500000;16;558.164409300000;16;0;0;0.872434905469;5;0.199613611348;20;0;0;;;;
2020-12-03;2020-12-02;57;539.670181300000;16;547.046157100000;16;0;0;0.900810429880;5;0.197403981282;20;0;0;;;;
2020-12-04;2020-12-03;57;522.408066800000;16;526.686150900000;16;0;0;0.938397472716;5;0.201152742187;20;0;0;;;;
2020-12-05;2020-12-04;57;512.486558900000;16;515.614811200000;16;0;0;0.963677473469;5;0.204401299504;20;0;0;;;;
2020-12-06;2020-12-05;62;513.618041000000;16;514.864211800000;16;0;0;1.017095622769;10;0.208296462730;20;0;0;;;;
